96240	
	(3904590.895,0)	(3517856.406,0)	(4063632.877,0)	(3661122.824,0)	(4026362.131,0)
	(3627548.62,0)	(4044811.325,0)	(3644167.98,0)	(4276868.899,0)	(3853213.944,0)
	(4238189.876,0)	(3818370.05,0)	(4215319.171,0)	(3797767.039,0)	(4191615.995,0)
	(3776414.162,0)	(4253455.347,0)	(3832121.789,0)	(4083513.739,0)	(3679031.97,0)
	(4169620.147,0)	(3756599.416,0)	(4103943.641,0)	(3697435.784,0)	(4147890.921,0)
	(3737024.913,0)	(4125597.837,0)	(3716942.539,0)	(4293839.59,0)	(3868501.861,0)
	(4676424.708,0)	(4213165.844,0)	(4646401.649,0)	(4186117.892,0)	(4705984.595,0)
	(4239796.515,0)	(4783103.223,0)	(4309274.228,0)	(4736726.996,0)	(4267492.73,0)
	(4905735.897,0)	(4419756.756,0)	(4872754.039,0)	(4390042.35,0)	(4808904.455,0)
	(4332518.708,0)	(4835667.384,0)	(4356630.051,0)	(5053262.085,0)	(4552668.966,0)
	(5041476.886,0)	(4542050.474,0)	(5088222.856,0)	(4584166.919,0)	(5008742.872,0)
	(4512559.131,0)	(4967936.189,0)	(4475794.821,0)	(4926906.634,0)	(4438829.663,0)
	(4631259.794,0)	(4172476.073,0)	(4603006.865,0)	(4147023.117,0)	(4309012.131,0)
	(3882169.879,0)	(4331207.289,0)	(3902164.621,0)	(4570899.878,0)	(4118098.118,0)
	(4552395.574,0)	(4101428.041,0)	(4524946.293,0)	(4076699.322,0)	(4479625.723,0)
	(4035871.008,0)	(4494020.053,0)	(4048838.258,0)	(4449956.67,0)	(4009142.709,0)
	(4421377.481,0)	(3983396.406,0)	(4395265.446,0)	(3959872.765,0)	(4383442.808,0)
	(3949221.801,0)	(4358055.085,0)	(3926350.809,0)	(3542870.153,0)	(3192033.582,0)
	(3540035.326,0)	(3189480.386,0)	(3544545.7,0)	(3193542.64,0)	(3541621.768,0)
	(3190909.048,0)	(3547650.114,0)	(3196338.744,0)	(3545207.682,0)	(3194138.853,0)
	(3544637.214,0)	(3193624.965,0)	(3548506.058,0)	(3197109.675,0)	(3548542.981,0)
	(3197142.89,0)	(3553119.915,0)	(3201265.415,0)	(3560638.148,0)	(3208037.243,0)
	(3563729.058,0)	(3210821.276,0)	(3550323.029,0)	(3198746.176,0)	(3555066.684,0)
	(3203018.889,0)	(3595030.97,0)	(3239015.685,0)	(3589843.527,0)	(3234343.206,0)
	(3584942.445,0)	(3229928.666,0)	(3584787.853,0)	(3229789.446,0)	(3572253.966,0)
	(3218499.875,0)	(3580140.674,0)	(3225603.629,0)	(3576546.174,0)	(3222365.969,0)
	(3561799.95,0)	(3209083.66,0)	(3567681.182,0)	(3214381.045,0)	(3579608.7,0)
